Date : 2023-07-05 02:56:18
Directory : d:\codes\ChatGPT-Next-Web\app
Total : 136 files,  15322 codes, 159 comments, 1640 blanks, all 17121 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\codes\ChatGPT-Next-Web\app\components\emoji.tsx                    | TypeScript React |         52 |          0 |          8 |         60 |
| d:\codes\ChatGPT-Next-Web\app\components\error.tsx                    | TypeScript React |         66 |          3 |          7 |         76 |
| d:\codes\ChatGPT-Next-Web\app\components\exporter.module.scss         | SCSS             |        182 |          0 |         36 |        218 |
| d:\codes\ChatGPT-Next-Web\app\components\exporter.tsx                 | TypeScript React |        489 |          0 |         40 |        529 |
| d:\codes\ChatGPT-Next-Web\app\components\footer.module.scss           | SCSS             |         14 |          0 |          3 |         17 |
| d:\codes\ChatGPT-Next-Web\app\components\footer.tsx                   | TypeScript React |         19 |          0 |          6 |         25 |
| d:\codes\ChatGPT-Next-Web\app\components\header.module.scss           | SCSS             |        106 |          4 |         12 |        122 |
| d:\codes\ChatGPT-Next-Web\app\components\header.tsx                   | TypeScript React |        113 |          4 |         14 |        131 |
| d:\codes\ChatGPT-Next-Web\app\components\home.module.scss             | SCSS             |        279 |          2 |         51 |        332 |
| d:\codes\ChatGPT-Next-Web\app\components\home.tsx                     | TypeScript React |        149 |          0 |         30 |        179 |
| d:\codes\ChatGPT-Next-Web\app\components\input-range.module.scss      | SCSS             |         12 |          0 |          2 |         14 |
| d:\codes\ChatGPT-Next-Web\app\components\input-range.tsx              | TypeScript React |         35 |          0 |          3 |         38 |
| d:\codes\ChatGPT-Next-Web\app\components\intro.module.scss            | SCSS             |        164 |          0 |         32 |        196 |
| d:\codes\ChatGPT-Next-Web\app\components\intro.tsx                    | TypeScript React |        489 |         20 |         25 |        534 |
| d:\codes\ChatGPT-Next-Web\app\components\login.tsx                    | TypeScript React |         52 |          0 |          4 |         56 |
| d:\codes\ChatGPT-Next-Web\app\components\markdown.tsx                 | TypeScript React |        191 |          4 |         18 |        213 |
| d:\codes\ChatGPT-Next-Web\app\components\mask.module.scss             | SCSS             |         91 |          0 |         18 |        109 |
| d:\codes\ChatGPT-Next-Web\app\components\mask.tsx                     | TypeScript React |        472 |          5 |         36 |        513 |
| d:\codes\ChatGPT-Next-Web\app\components\message-selector.module.scss | SCSS             |         61 |          0 |         16 |         77 |
| d:\codes\ChatGPT-Next-Web\app\components\message-selector.tsx         | TypeScript React |        192 |          3 |         21 |        216 |
| d:\codes\ChatGPT-Next-Web\app\components\model-config.tsx             | TypeScript React |        189 |          0 |          7 |        196 |
| d:\codes\ChatGPT-Next-Web\app\components\new-chat.module.scss         | SCSS             |        152 |          2 |         24 |        178 |
| d:\codes\ChatGPT-Next-Web\app\components\new-chat.tsx                 | TypeScript React |        155 |          1 |         28 |        184 |
| d:\codes\ChatGPT-Next-Web\app\components\register.tsx                 | TypeScript React |        163 |          0 |         13 |        176 |
| d:\codes\ChatGPT-Next-Web\app\components\settings.module.scss         | SCSS             |         59 |          1 |         13 |         73 |
| d:\codes\ChatGPT-Next-Web\app\components\settings.tsx                 | TypeScript React |        636 |          5 |         51 |        692 |
| d:\codes\ChatGPT-Next-Web\app\components\sidebar.tsx                  | TypeScript React |        169 |         12 |         26 |        207 |
| d:\codes\ChatGPT-Next-Web\app\components\ui-lib.module.scss           | SCSS             |        215 |          0 |         36 |        251 |
| d:\codes\ChatGPT-Next-Web\app\components\ui-lib.tsx                   | TypeScript React |        352 |          1 |         41 |        394 |
| d:\codes\ChatGPT-Next-Web\app\config\build.ts                         | TypeScript       |         38 |          0 |          7 |         45 |
| d:\codes\ChatGPT-Next-Web\app\config\client.ts                        | TypeScript       |         21 |          2 |          5 |         28 |
| d:\codes\ChatGPT-Next-Web\app\config\server.ts                        | TypeScript       |         47 |          0 |          6 |         53 |
| d:\codes\ChatGPT-Next-Web\app\constant.ts                             | TypeScript       |         54 |          0 |         13 |         67 |
| d:\codes\ChatGPT-Next-Web\app\global.d.ts                             | TypeScript       |         15 |          0 |          3 |         18 |
| d:\codes\ChatGPT-Next-Web\app\icons\add.svg                           | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\auto.svg                          | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\black-bot.svg                     | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\bot.svg                           | XML              |          9 |          0 |          1 |         10 |
| d:\codes\ChatGPT-Next-Web\app\icons\bottom.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\brain.svg                         | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\break.svg                         | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\cancel.svg                        | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\chat-settings.svg                 | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\chat.svg                          | XML              |         27 |          0 |          0 |         27 |
| d:\codes\ChatGPT-Next-Web\app\icons\chatgpt.svg                       | XML              |         16 |          0 |          0 |         16 |
| d:\codes\ChatGPT-Next-Web\app\icons\clear.svg                         | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\close.svg                         | XML              |         21 |          0 |          0 |         21 |
| d:\codes\ChatGPT-Next-Web\app\icons\confirm.svg                       | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\copy.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\dark.svg                          | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\delete.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\down.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\download.svg                      | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\edit.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\export.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\eye-off.svg                       | XML              |          4 |          0 |          0 |          4 |
| d:\codes\ChatGPT-Next-Web\app\icons\eye.svg                           | XML              |          4 |          0 |          0 |          4 |
| d:\codes\ChatGPT-Next-Web\app\icons\github.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\left.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\light.svg                         | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\lightning.svg                     | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\mask.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\max.svg                           | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\menu.svg                          | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\min.svg                           | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\pause.svg                         | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\pin.svg                           | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\plugin.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\prompt.svg                        | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\reload.svg                        | XML              |         24 |          0 |          0 |         24 |
| d:\codes\ChatGPT-Next-Web\app\icons\rename.svg                        | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\return.svg                        | XML              |         21 |          0 |          0 |         21 |
| d:\codes\ChatGPT-Next-Web\app\icons\robot.svg                         | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\icons\send-white.svg                    | XML              |         21 |          0 |          0 |         21 |
| d:\codes\ChatGPT-Next-Web\app\icons\settings.svg                      | XML              |         21 |          0 |          0 |         21 |
| d:\codes\ChatGPT-Next-Web\app\icons\share.svg                         | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\three-dots.svg                    | XML              |          1 |          0 |          0 |          1 |
| d:\codes\ChatGPT-Next-Web\app\icons\upload.svg                        | XML              |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\layout.tsx                              | TypeScript React |         42 |          1 |          3 |         46 |
| d:\codes\ChatGPT-Next-Web\app\locales\ar.ts                           | TypeScript       |        286 |          0 |          5 |        291 |
| d:\codes\ChatGPT-Next-Web\app\locales\cn.ts                           | TypeScript       |        321 |          0 |         10 |        331 |
| d:\codes\ChatGPT-Next-Web\app\locales\cs.ts                           | TypeScript       |        232 |          0 |          5 |        237 |
| d:\codes\ChatGPT-Next-Web\app\locales\de.ts                           | TypeScript       |        236 |          0 |          5 |        241 |
| d:\codes\ChatGPT-Next-Web\app\locales\en.ts                           | TypeScript       |        320 |          0 |          6 |        326 |
| d:\codes\ChatGPT-Next-Web\app\locales\es.ts                           | TypeScript       |        234 |          0 |          5 |        239 |
| d:\codes\ChatGPT-Next-Web\app\locales\fr.ts                           | TypeScript       |        236 |          0 |          6 |        242 |
| d:\codes\ChatGPT-Next-Web\app\locales\index.ts                        | TypeScript       |         96 |          1 |         19 |        116 |
| d:\codes\ChatGPT-Next-Web\app\locales\it.ts                           | TypeScript       |        235 |          0 |          5 |        240 |
| d:\codes\ChatGPT-Next-Web\app\locales\jp.ts                           | TypeScript       |        259 |          0 |          4 |        263 |
| d:\codes\ChatGPT-Next-Web\app\locales\ko.ts                           | TypeScript       |        229 |          0 |          6 |        235 |
| d:\codes\ChatGPT-Next-Web\app\locales\no.ts                           | TypeScript       |        161 |          0 |          4 |        165 |
| d:\codes\ChatGPT-Next-Web\app\locales\ru.ts                           | TypeScript       |        238 |          0 |          5 |        243 |
| d:\codes\ChatGPT-Next-Web\app\locales\tr.ts                           | TypeScript       |        235 |          0 |          5 |        240 |
| d:\codes\ChatGPT-Next-Web\app\locales\tw.ts                           | TypeScript       |        225 |          0 |          4 |        229 |
| d:\codes\ChatGPT-Next-Web\app\locales\vi.ts                           | TypeScript       |        230 |          0 |          5 |        235 |
| d:\codes\ChatGPT-Next-Web\app\masks\cn.ts                             | TypeScript       |        470 |          0 |          2 |        472 |
| d:\codes\ChatGPT-Next-Web\app\masks\en.ts                             | TypeScript       |        121 |          0 |          2 |        123 |
| d:\codes\ChatGPT-Next-Web\app\masks\index.ts                          | TypeScript       |         22 |          0 |          5 |         27 |
| d:\codes\ChatGPT-Next-Web\app\masks\typing.ts                         | TypeScript       |          6 |          0 |          2 |          8 |
| d:\codes\ChatGPT-Next-Web\app\page.tsx                                | TypeScript React |         23 |          0 |          3 |         26 |
| d:\codes\ChatGPT-Next-Web\app\polyfill.ts                             | TypeScript       |         18 |          4 |          6 |         28 |
| d:\codes\ChatGPT-Next-Web\app\store\access.ts                         | TypeScript       |         92 |          1 |         12 |        105 |
| d:\codes\ChatGPT-Next-Web\app\store\chat.ts                           | TypeScript       |        517 |         26 |         83 |        626 |
| d:\codes\ChatGPT-Next-Web\app\store\config.ts                         | TypeScript       |        180 |          0 |         22 |        202 |
| d:\codes\ChatGPT-Next-Web\app\store\index.ts                          | TypeScript       |          4 |          0 |          1 |          5 |
| d:\codes\ChatGPT-Next-Web\app\store\mask.ts                           | TypeScript       |        105 |          0 |         10 |        115 |
| d:\codes\ChatGPT-Next-Web\app\store\prompt.ts                         | TypeScript       |        148 |          1 |         27 |        176 |
| d:\codes\ChatGPT-Next-Web\app\store\sync.ts                           | TypeScript       |         72 |          0 |         16 |         88 |
| d:\codes\ChatGPT-Next-Web\app\store\update.ts                         | TypeScript       |        109 |          0 |         21 |        130 |
| d:\codes\ChatGPT-Next-Web\app\styles\animation.scss                   | SCSS             |         20 |          0 |          4 |         24 |
| d:\codes\ChatGPT-Next-Web\app\styles\globals.scss                     | SCSS             |        299 |          4 |         61 |        364 |
| d:\codes\ChatGPT-Next-Web\app\styles\highlight.scss                   | SCSS             |         91 |          8 |         17 |        116 |
| d:\codes\ChatGPT-Next-Web\app\styles\layout.scss                      | SCSS             |         10 |          0 |          0 |         10 |
| d:\codes\ChatGPT-Next-Web\app\styles\markdown.scss                    | SCSS             |        957 |          0 |        176 |      1,133 |
| d:\codes\ChatGPT-Next-Web\app\styles\window.scss                      | SCSS             |         30 |          0 |          7 |         37 |
| d:\codes\ChatGPT-Next-Web\app\typing.ts                               | TypeScript       |          1 |          0 |          1 |          2 |
| d:\codes\ChatGPT-Next-Web\app\utils.ts                                | TypeScript       |        143 |          0 |         33 |        176 |
| d:\codes\ChatGPT-Next-Web\app\utils\format.ts                         | TypeScript       |         13 |          0 |          1 |         14 |
| d:\codes\ChatGPT-Next-Web\app\utils\merge.ts                          | TypeScript       |          9 |          0 |          1 |         10 |
| d:\codes\ChatGPT-Next-Web\app\utils\token.ts                          | TypeScript       |         16 |          3 |          4 |         23 |
| Total                                                                 |                  |     15,322 |        159 |      1,640 |     17,121 |
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
