"filename", "language", "TypeScript", "TypeScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\codes\ChatGPT-Next-Web\app\locales\ru.ts", "TypeScript", 238, 0, 0, 0, 0, 5, 243
"d:\codes\ChatGPT-Next-Web\app\locales\tr.ts", "TypeScript", 235, 0, 0, 0, 0, 5, 240
"d:\codes\ChatGPT-Next-Web\app\locales\tw.ts", "TypeScript", 225, 0, 0, 0, 0, 4, 229
"d:\codes\ChatGPT-Next-Web\app\locales\vi.ts", "TypeScript", 230, 0, 0, 0, 0, 5, 235
"d:\codes\ChatGPT-Next-Web\app\masks\cn.ts", "TypeScript", 470, 0, 0, 0, 0, 2, 472
"d:\codes\ChatGPT-Next-Web\app\masks\en.ts", "TypeScript", 121, 0, 0, 0, 0, 2, 123
"d:\codes\ChatGPT-Next-Web\app\masks\index.ts", "TypeScript", 22, 0, 0, 0, 0, 5, 27
"d:\codes\ChatGPT-Next-Web\app\masks\typing.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"d:\codes\ChatGPT-Next-Web\app\page.tsx", "TypeScript React", 0, 23, 0, 0, 0, 3, 26
"d:\codes\ChatGPT-Next-Web\app\polyfill.ts", "TypeScript", 18, 0, 0, 0, 4, 6, 28
"d:\codes\ChatGPT-Next-Web\app\store\access.ts", "TypeScript", 92, 0, 0, 0, 1, 12, 105
"d:\codes\ChatGPT-Next-Web\app\store\chat.ts", "TypeScript", 517, 0, 0, 0, 26, 83, 626
"d:\codes\ChatGPT-Next-Web\app\store\config.ts", "TypeScript", 180, 0, 0, 0, 0, 22, 202
"d:\codes\ChatGPT-Next-Web\app\store\index.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"d:\codes\ChatGPT-Next-Web\app\store\mask.ts", "TypeScript", 105, 0, 0, 0, 0, 10, 115
"d:\codes\ChatGPT-Next-Web\app\store\prompt.ts", "TypeScript", 148, 0, 0, 0, 1, 27, 176
"d:\codes\ChatGPT-Next-Web\app\store\sync.ts", "TypeScript", 72, 0, 0, 0, 0, 16, 88
"d:\codes\ChatGPT-Next-Web\app\store\update.ts", "TypeScript", 109, 0, 0, 0, 0, 21, 130
"d:\codes\ChatGPT-Next-Web\app\styles\animation.scss", "SCSS", 0, 0, 20, 0, 0, 4, 24
"d:\codes\ChatGPT-Next-Web\app\styles\globals.scss", "SCSS", 0, 0, 299, 0, 4, 61, 364
"d:\codes\ChatGPT-Next-Web\app\styles\highlight.scss", "SCSS", 0, 0, 91, 0, 8, 17, 116
"d:\codes\ChatGPT-Next-Web\app\styles\layout.scss", "SCSS", 0, 0, 10, 0, 0, 0, 10
"d:\codes\ChatGPT-Next-Web\app\styles\markdown.scss", "SCSS", 0, 0, 957, 0, 0, 176, 1133
"d:\codes\ChatGPT-Next-Web\app\styles\window.scss", "SCSS", 0, 0, 30, 0, 0, 7, 37
"d:\codes\ChatGPT-Next-Web\app\typing.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"d:\codes\ChatGPT-Next-Web\app\utils.ts", "TypeScript", 143, 0, 0, 0, 0, 33, 176
"d:\codes\ChatGPT-Next-Web\app\utils\format.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"d:\codes\ChatGPT-Next-Web\app\utils\merge.ts", "TypeScript", 9, 0, 0, 0, 0, 1, 10
"d:\codes\ChatGPT-Next-Web\app\utils\token.ts", "TypeScript", 16, 0, 0, 0, 3, 4, 23
"Total", "-", 6591, 5286, 3243, 202, 159, 1640, 17121
